Series_Title,Genre,Director
What Ever Happened to Baby Jane?,Drama,Robert Aldrich
Sanjuro,Action,Akira Kurosawa
The Man Who Shot Liberty Valance,Drama,John Ford
Inherit the Wind,Biography,Stanley Kramer
The Bridge on the River Kwai,Adventure,David Lean
On the Waterfront,Crime,Elia Kazan
Ace in the Hole,Drama,Billy Wilder
White Heat,Action,Raoul Walsh
The Third Man,Film-Noir,Carol Reed
The Red Shoes,Drama,Michael Powell
The Shop Around the Corner,Comedy,Ernst Lubitsch
Rebecca,Drama,Alfred Hitchcock
Mr. Smith Goes to Washington,Comedy,Frank Capra
Gone with the Wind,Drama,Victor Fleming
La Grande Illusion,Drama,Jean Renoir
It Happened One Night,Comedy,Frank Capra
The Circus,Comedy,Charles Chaplin
Sunrise: A Song of Two Humans,Drama,F.W. Murnau
The General,Action,Clyde Bruckman
Airlift,Drama,Raja Menon
Baby,Action,Neeraj Pandey
La La Land,Comedy,Damien Chazelle
Lion,Biography,Garth Davis
The Martian,Adventure,Ridley Scott
Zootopia,Animation,Byron Howard
Wonder,Drama,Stephen Chbosky
Gully Boy,Drama,Zoya Akhtar
Short Term 12,Drama,Destin Daniel Cretton
The Imitation Game,Biography,Morten Tyldum
Guardians of the Galaxy,Action,James Gunn
Blade Runner 2049,Action,Denis Villeneuve
Her,Drama,Spike Jonze
Bohemian Rhapsody,Biography,Bryan Singer
The Revenant,Action,Alejandro G. Iñárritu
The Perks of Being a Wallflower,Drama,Stephen Chbosky
The King's Speech,Biography,Tom Hooper
The Help,Drama,Tate Taylor
Deadpool,Action,Tim Miller
Slumdog Millionaire,Drama,Danny Boyle
Black Swan,Drama,Darren Aronofsky
The Avengers,Action,Joss Whedon
Dallas Buyers Club,Biography,Jean-Marc Vallée
The Pursuit of Happyness,Biography,Gabriele Muccino
Blood Diamond,Adventure,Edward Zwick
The Bourne Ultimatum,Action,Paul Greengrass
Sin City,Crime,Frank Miller
Ratatouille,Animation,Brad Bird
Casino Royale,Action,Martin Campbell
Kill Bill: Vol. 2,Action,Quentin Tarantino
Cinderella Man,Biography,Ron Howard
Pirates of the Caribbean: The Curse of the Black Pearl,Action,Gore Verbinski
Big Fish,Adventure,Tim Burton
The Incredibles,Animation,Brad Bird
Dogville,Crime,Lars von Trier
Donnie Darko,Drama,Richard Kelly
Magnolia,Drama,Paul Thomas Anderson
Dancer in the Dark,Crime,Lars von Trier
The Straight Story,Biography,David Lynch
Central do Brasil,Drama,Walter Salles
The Iron Giant,Animation,Brad Bird
Knockin' on Heaven's Door,Action,Thomas Jahn
Sling Blade,Drama,Billy Bob Thornton
Secrets & Lies,Comedy,Mike Leigh
Twelve Monkeys,Mystery,Terry Gilliam
The Nightmare Before Christmas,Animation,Henry Selick
Groundhog Day,Comedy,Harold Ramis
Bound by Honor,Crime,Taylor Hackford
Scent of a Woman,#VALUE!,Martin Brest
Aladdin,Animation,Ron Clements
JFK,Drama,Oliver Stone
Beauty and the Beast,Animation,Gary Trousdale
Dances with Wolves,Adventure,Kevin Costner
Do the Right Thing,Comedy,Spike Lee
Rain Man,#VALUE!,Barry Levinson
The Princess Bride,Adventure,Rob Reiner
The Terminator,Action,James Cameron
Gandhi,Biography,Richard Attenborough
Being There,Comedy,Hal Ashby
Annie Hall,Comedy,Woody Allen
Jaws,Adventure,Steven Spielberg
Dog Day Afternoon,Biography,Sidney Lumet
Young Frankenstein,Comedy,Mel Brooks
Papillon,Biography,Franklin J. Schaffner
The Exorcist,Horror,William Friedkin
Sleuth,Mystery,Joseph L. Mankiewicz
The Last Picture Show,Drama,Peter Bogdanovich
Fiddler on the Roof,Drama,Norman Jewison
Butch Cassidy and the Sundance Kid,Biography,George Roy Hill
Rosemary's Baby,Drama,Roman Polanski
Planet of the Apes,Adventure,Franklin J. Schaffner
The Graduate,Comedy,Mike Nichols
Who's Afraid of Virginia Woolf?,Drama,Mike Nichols
The Sound of Music,Biography,Robert Wise
Doctor Zhivago,Drama,David Lean
The Hustler,Drama,Robert Rossen
Rio Bravo,Action,Howard Hawks
Anatomy of a Murder,Crime,Otto Preminger
Touch of Evil,Crime,Orson Welles
Cat on a Hot Tin Roof,Drama,Richard Brooks
Sweet Smell of Success,Drama,Alexander Mackendrick
The Killing,Crime,Stanley Kubrick
The Night of the Hunter,Crime,Charles Laughton
La Strada,Drama,Federico Fellini
Roman Holiday,Comedy,William Wyler
A Streetcar Named Desire,Drama,Elia Kazan
In a Lonely Place,Drama,Nicholas Ray
Kind Hearts and Coronets,Comedy,Robert Hamer
Rope,Crime,Alfred Hitchcock
Out of the Past,Crime,Jacques Tourneur
Brief Encounter,Drama,David Lean
Laura,Drama,Otto Preminger
The Best Years of Our Lives,Drama,William Wyler
Arsenic and Old Lace,Comedy,Frank Capra
The Maltese Falcon,Film-Noir,John Huston
The Grapes of Wrath,Drama,John Ford
The Wizard of Oz,Adventure,Victor Fleming
The Thin Man,Comedy,W.S. Van Dyke
All Quiet on the Western Front,Drama,Lewis Milestone
Knives Out,Comedy,Rian Johnson
Marriage Story,Comedy,Noah Baumbach
Call Me by Your Name,Drama,Luca Guadagnino
"I, Daniel Blake",Drama,Ken Loach
Isle of Dogs,Animation,Wes Anderson
Hunt for the Wilderpeople,Adventure,Taika Waititi
Captain Fantastic,Comedy,Matt Ross
Sing Street,Comedy,John Carney
Thor: Ragnarok,Action,Taika Waititi
Nightcrawler,Crime,Dan Gilroy
Jojo Rabbit,Comedy,Taika Waititi
Arrival,Drama,Denis Villeneuve
Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams
Before Midnight,Drama,Richard Linklater
X-Men: Days of Future Past,Action,Bryan Singer
The Artist,Comedy,Michel Hazanavicius
Edge of Tomorrow,Action,Doug Liman
Amour,Drama,Michael Haneke
The Irishman,Biography,Martin Scorsese
Moon,Drama,Duncan Jones
District 9,Action,Neill Blomkamp
The Wrestler,Drama,Darren Aronofsky
